,en_frailty_cmb
129,0.1768843441726854
130,0.2392926265518272
131,0.15460558673829813
132,0.16273380540836246
133,0.09034829444473426
134,0.12979326023419538
135,0.09110299704973147
136,0.21941707022324777
137,0.1141098179178887
138,0.16122618649676151
139,0.1360288718028491
140,0.1252703837930725
141,0.07823545823769265
142,0.14587955090055768
143,0.15702710265952582
144,0.12232962962486284
145,0.10250337502135756
146,0.17757653620730027
147,0.20990304258477038
148,0.14210265874012082
149,0.21284349305513753
150,0.1474199388919799
151,0.14718460350621923
152,0.131715469358106
153,0.07096107855411643
154,0.18333996409890868
155,0.2083754488948799
156,0.14370952459747244
157,0.12316296021658638
158,0.13075784960152906
159,0.12467044487926672
160,0.1448980475750826
161,0.11141278816939765
162,0.177870953360285
163,0.14656893363704443
164,0.10151762434307053
165,0.10188986037323182
166,0.09168467619453481
167,0.11931392376292652
168,0.07073560028607938
169,0.062370915564574816
170,0.10212984674629386
171,0.14624806936864443
172,0.07148695504826919
173,0.10032696426808033
174,0.13478904132409258
175,0.16199446148383365
176,0.11792873999257564
177,0.11744419356510799
178,0.12976116255095244
179,0.15037051603988733
180,0.12860255244630098
181,0.19789027439529136
182,0.14944430758555832
183,0.07973983154840544
184,0.12398684045689357
185,0.11629640740538438
186,0.20375210752398126
187,0.1411315564066925
188,0.13840333634169985
189,0.08617577427367101
190,0.0991065016762722
191,0.1804865395427329
192,0.19008680934291472
193,0.12321651707343553
194,0.10908263735612714
195,0.15926956336803288
196,0.08106510867628347
197,0.12324614503200895
198,0.1048606698914315
199,0.0969304246938806
200,0.11550533429608155
201,0.2206369778848144
202,0.17352087112682005
203,0.12777324285175878
204,0.11314513432039087
205,0.11448833217879338
206,0.10819898299343966
207,0.08625780598909771
208,0.15059678877885105
209,0.14223135843164764
210,0.14407551437946123
211,0.13605928449841617
212,0.13699401493285424
213,0.18547918108609884
214,0.15375234340350247
215,0.16070672827440124
216,0.1742345829693563
217,0.13488551051533168
218,0.10098998292297577
219,0.14559573763419886
220,0.1238156858736762
221,0.1351238515390186
222,0.11809391359288321
223,0.12010648480595365
224,0.05424981354996694
225,0.11642596058954187
226,0.12389053020939948
227,0.1277811056026248
228,0.11834522357292734
229,0.0568235030674487
230,0.17095774557966037
231,0.12981673808651992
232,0.14699387795215893
233,0.1284266901332085
234,0.14038297033695135
235,0.09299573926849493
236,0.21320623753056217
237,0.13768838539377934
238,0.10205448260631551
239,0.11355981334549269
240,0.12736539440954178
241,0.18530497925708428
242,0.16850621587446835
243,0.11224342632242335
244,0.06867290911469243
245,0.15073070045963935
246,0.10311173280180494
247,0.13157594191513125
248,0.14172291798731845
249,0.08924561857020857
250,0.13578754878952384
251,0.10568165999705294
252,0.14834976532518748
253,0.11087595837889656
254,0.1586716947310706
255,0.09701132367337059
256,0.19182667887875227
257,0.10255087798193895
258,0.11286134304760463
259,0.14040771226981577
260,0.11963367229201825
261,0.12157007033579194
262,0.16737867989712962
263,0.1291392156381153
264,0.21938977420198003
265,0.11268349922795828
266,0.09761133573461248
267,0.18403053345853043
268,0.2029082492397703
269,0.07448955319271389
270,0.16946548896253916
271,0.11870536679515303
272,0.17366483551665451
273,0.16082310514211826
274,0.10326558392878726
275,0.1290163916598462
276,0.1017004959748591
277,0.1436807042247765
278,0.1413002909890291
279,0.11228880369520067
280,0.16470831217799192
281,0.15236599219875574
282,0.1253064314902806
283,0.09047736517944384
284,0.14133239725748592
285,0.14079451486360517
286,0.06925063875040782
287,0.10481095129023787
288,0.15391806176949216
289,0.088282435313269
290,0.0906314539999688
291,0.12676411856114062
292,0.10035411144544461
293,0.11134713675995615
294,0.11211619652813445
295,0.1444367388206532
296,0.13003444670459655
297,0.14819911184251527
298,0.07566411075805785
299,0.09416064240262007
300,0.1575929420417656
301,0.20851124040918487
302,0.1164858717591259
303,0.04458121875260421
304,0.09935895151457823
305,0.050213131103942474
306,0.11242705075445021
307,0.11804986995229935
308,0.1431051651578911
309,0.1657708764238506
310,0.13582097138549842
311,0.11615804520544815
312,0.1427439678843704
313,0.09517645495602425
314,0.13105073210532311
315,0.09555395104351001
316,0.12001835204396083
317,0.1091183065576913
318,0.10333529072191033
319,0.14311060487180155
320,0.14517955089263562
321,0.11409873764301404
322,0.1308520962054995
323,0.1368483829077454
324,0.16571066008567525
